Title	Description	Score	Category	DateTime	DocumentId
How planning his training sessions helped Ajinkya Rahane for the challenge in Australia - Times of India	How planning his training sessions helped Ajinkya Rahane for the challenge in Australia?ÿ?ÿTimes of India	0.5	Sports	1/1/2021 9:11	Doc 18
"Anustup Majumdar to lead Bengal in Mushtaq Ali T20, Shami's younger brother gets call-up - Deccan Herald"	"Anustup Majumdar to lead Bengal in Mushtaq Ali T20, Shami's younger brother gets call-up?ÿ?ÿDeccan Herald"	0.4	Sports	1/1/2021 10:07	Doc 19
India vs Australia: Rohit Sharma replaces Cheteshwar Pujara as vice-captain of Indian Test team - Times of India	India vs Australia: Rohit Sharma replaces Cheteshwar Pujara as vice-captain of Indian Test team?ÿ?ÿTimes of India	0.7	Sports	1/1/2021 10:17	Doc 20
India haven't won anything: Aakash Chopra questions MS Dhoni's inclusion in ICC's T20I Team of the Decade - Times Now	India haven't won anything: Aakash Chopra questions MS Dhoni's inclusion in ICC's T20I Team of the Decade?ÿ?ÿTimes Now	0.7	Sports	1/1/2021 10:25	Doc 21
"FACTBOX-Cricket-South Africa v Sri Lanka, second test - Devdiscourse"	"FACTBOX-Cricket-South Africa v Sri Lanka, second test?ÿ?ÿDevdiscourse"	0.6	Sports	1/1/2021 10:28	Doc 22
"Racing against time, Babar Azam has lengthy net session ahead of second Test - Deccan Herald"	"Racing against time, Babar Azam has lengthy net session ahead of second Test?ÿ?ÿDeccan Herald"	0.6	Sports	1/1/2021 11:20	Doc 23
Shikhar Dhawan's hilarious dance video with his pets leaves KL Rahul and Hardik Pandya in splits - Watch - Times Now	Shikhar Dhawan's hilarious dance video with his pets leaves KL Rahul and Hardik Pandya in splits - Watch?ÿ?ÿTimes Now	0.2	Sports	1/1/2021 11:42	Doc 24
"Glenton Stuurman ruled out of Wanderers Test, released from Proteas squad - News24"	"Glenton Stuurman ruled out of Wanderers Test, released from Proteas squad?ÿ?ÿNews24"	0.2	Sports	1/1/2021 11:58	Doc 25
Bumrah has mastered the art we Pakistanis used to have once: Shoaib Akhtar - Times of India	Bumrah has mastered the art we Pakistanis used to have once: Shoaib Akhtar?ÿ?ÿTimes of India	0.7	Sports	1/1/2021 12:05	Doc 26
It wasn't LBW call but 'get lost' comment from Aussies that made me walk out in 1981: Sunil Gavaskar - Times of India	It wasn't LBW call but 'get lost' comment from Aussies that made me walk out in 1981: Sunil Gavaskar?ÿ?ÿTimes of India	0.2	Sports	1/1/2021 12:33	Doc 27
"England squad clears COVID-19 test, set to travel to Sri Lanka for Test series - Times of India"	"England squad clears COVID-19 test, set to travel to Sri Lanka for Test series?ÿ?ÿTimes of India"	0.7	Sports	1/1/2021 12:47	Doc 28
PCB Awards 2020: Babar Azam named Most Valuable Cricketer of the Year - Times of India	PCB Awards 2020: Babar Azam named Most Valuable Cricketer of the Year?ÿ?ÿTimes of India	0.5	Sports	1/1/2021 13:11	Doc 29
Mushtaq Ali T20: Karnataka state team gearing up in isolation - Times of India	Mushtaq Ali T20: Karnataka state team gearing up in isolation?ÿ?ÿTimes of India	0.6	Sports	1/1/2021 13:35	Doc 30
HUR vs STA Dream11 prediction today: Fantasy cricket tips for Hobart Hurricanes vs Melbourne Stars - Times Now	HUR vs STA Dream11 prediction today: Fantasy cricket tips for Hobart Hurricanes vs Melbourne Stars?ÿ?ÿTimes Now	0.6	Sports	1/1/2021 14:36	Doc 31
NK vs OV T20 Dream11 prediction today: Fantasy cricket tips for Northern Knights vs Otago Volts - Times Now	NK vs OV T20 Dream11 prediction today: Fantasy cricket tips for Northern Knights vs Otago Volts?ÿ?ÿTimes Now	0.6	Sports	1/1/2021 14:41	Doc 32
Williamson: A nice guy who finished first - Deccan Herald	Williamson: A nice guy who finished first?ÿ?ÿDeccan Herald	0.3	Sports	1/1/2021 14:45	Doc 33
"South Africa to undergo major overhaul in domestic structure, to introduce two-division league system - Times of India"	"South Africa to undergo major overhaul in domestic structure, to introduce two-division league system?ÿ?ÿTimes of India"	0.5	Sports	1/1/2021 15:16	Doc 34
"T Natarajan Rises! From Playing Tennis Ball Cricket in Chinnappampatti to Making It Into Indian Test Squad, - LatestLY"	"T Natarajan Rises! From Playing Tennis Ball Cricket in Chinnappampatti to Making It Into Indian Test Squad,?ÿ?ÿLatestLY"	0.5	Sports	1/1/2021 15:16	Doc 35
"Garg named Uttar Pradesh captain; Bhuvneshwar, Raina in squad - Times of India"	"Garg named Uttar Pradesh captain; Bhuvneshwar, Raina in squad?ÿ?ÿTimes of India"	0.6	Sports	1/1/2021 16:05	Doc 36
